"DATE","WEEKDAY","HOLIDAY","MONTHYEAR","YEAR","MONTH","DAYMONTH","WEEKEND","AWND","PRCP","PRCP_LVL","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT06","WT08","WT09","BIKE","TAXI","GREEN","TRAFFIC","ACCIDENTS"
"2013-09-02","Monday",TRUE,"2013-09",2013,"September","09-02",FALSE,9.7,0,"None",0,0,24.4,27.8,22.2,200,210,22.7,27.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,21416,332266,569,NA,431
"2013-09-03","Tuesday",FALSE,"2013-09",2013,"September","09-03",FALSE,14.8,0,"None",0,0,25,29.4,20.6,340,260,27.4,37,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,32411,422359,750,NA,550
"2013-09-04","Wednesday",FALSE,"2013-09",2013,"September","09-04",FALSE,21.2,0,"None",0,0,23.3,27.8,18.9,220,230,35.2,41.7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,36798,453983,770,NA,604
"2013-09-05","Thursday",FALSE,"2013-09",2013,"September","09-05",FALSE,19.8,0,"None",0,0,23.3,27.8,17.8,330,310,33.8,45.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,35825,467390,814,NA,493
"2013-09-06","Friday",FALSE,"2013-09",2013,"September","09-06",FALSE,12.2,0,"None",0,0,18.3,22.2,13.3,350,360,25.9,32,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,35868,508640,1026,NA,524
"2013-09-07","Saturday",FALSE,"2013-09",2013,"September","09-07",TRUE,18.7,0,"None",0,0,19.4,25.6,14.4,200,190,32,38.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,34419,511269,1104,NA,585
"2013-09-08","Sunday",FALSE,"2013-09",2013,"September","09-08",TRUE,20.9,0,"None",0,0,23.3,30.6,16.7,330,350,37,48.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,33196,462607,971,NA,500
"2013-09-09","Monday",FALSE,"2013-09",2013,"September","09-09",FALSE,14.8,0,"None",0,0,18.3,22.2,12.2,190,190,27.4,35.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,35394,451162,984,NA,632
"2013-09-10","Tuesday",FALSE,"2013-09",2013,"September","09-10",FALSE,19.8,0,"None",0,0,22.8,27.2,21.1,190,180,35.2,41.7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,36954,483385,962,NA,629
"2013-09-11","Wednesday",FALSE,"2013-09",2013,"September","09-11",FALSE,17.3,0,"None",0,0,25.6,31.1,22.2,180,180,38.5,50.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,35812,501093,1141,NA,577
